Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"CONLL2003","gs18","spacy_lg_model","DATE","tnnt:Date",7,7,7.00,7,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","ss4","allennlp_ner","MISC","tnnt:NPLLE",783,564,454.00,854,0.531616,0.709220,0.510856,0.593912,0.658111,0.541126,0.370370,0.125887,0.811359
"CONLL2003","gs18","stanza_model","NORP","tnnt:NORP",605,212,431.50,612,0.705065,0.851415,0.298347,0.441860,0.621129,0.342895,0.661157,0.033019,0.880488
"CONLL2003","gs18","flair_ontonotes_model","LOC","tnnt:Location",978,57,941.00,983,0.957274,0.736842,0.042945,0.081159,0.174129,0.052910,0.946830,0.087719,0.807692
"CONLL2003","gs18","stanza_model","LOC","tnnt:Location",971,49,941.50,975,0.965641,0.683673,0.034501,0.065686,0.143530,0.042588,0.953656,0.081633,0.744444
"CONLL2003","gs18","flair_fast_ontonotes_model","LOC","tnnt:Location",846,46,818.50,850,0.962941,0.684783,0.037234,0.070628,0.152913,0.045918,0.950355,0.086957,0.750000
"CONLL2003","gs18","spacy_sm_model","EVENT","tnnt:Event",534,90,522.50,560,0.933036,0.416667,0.070225,0.120192,0.209732,0.084232,0.880150,0.288889,0.585938
"CONLL2003","gs18","spacy_sm_model","DATE","tnnt:Date",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","EVENT","tnnt:Event",485,117,476.50,527,0.904175,0.431624,0.104124,0.167774,0.264953,0.122752,0.845361,0.358974,0.673333
"CONLL2003","gs18","spacy_lg_model","EVENT","tnnt:Event",502,100,469.50,522,0.899425,0.525000,0.104582,0.174419,0.291020,0.124526,0.840637,0.200000,0.656250
"CONLL2003","ss4","flair_model","MISC","tnnt:NPLLE",705,467,336.00,737,0.455902,0.858672,0.568794,0.684300,0.779246,0.609979,0.382979,0.068522,0.921839
"CONLL2003","ss4","flair_fast_model","MISC","tnnt:NPLLE",739,509,382.50,783,0.488506,0.786837,0.541949,0.641827,0.721622,0.577922,0.370771,0.086444,0.861290
"CONLL2003","gs18","flair_fast_ontonotes_model","NORP","tnnt:NORP",537,212,356.00,542,0.656827,0.877358,0.346369,0.496662,0.671480,0.394068,0.614525,0.023585,0.898551
"CONLL2003","gs18","flair_fast_ontonotes_model","EVENT","tnnt:Event",410,95,370.00,425,0.870588,0.578947,0.134146,0.217822,0.348101,0.158501,0.804878,0.157895,0.687500
"CONLL2003","ss4","flair_pooled_model","MISC","tnnt:NPLLE",737,489,378.00,783,0.482759,0.828221,0.549525,0.660685,0.751949,0.589177,0.398915,0.094070,0.914221
"CONLL2003","gs18","stanza_model","FAC","tnnt:FAC",30,30,30.00,30,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_sm_model","FAC","tnnt:FAC",41,41,41.00,41,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_ontonotes_model","FAC","tnnt:FAC",30,30,30.00,30,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","FAC","tnnt:FAC",23,23,23.00,23,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_sm_model","LAW","tnnt:Law",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","ss4","stanford_class4_model","MISC","tnnt:NPLLE",837,489,540.00,885,0.610169,0.705521,0.412186,0.520362,0.617615,0.449570,0.473118,0.098160,0.782313
"CONLL2003","gs18","flair_ontonotes_model","NORP","tnnt:NORP",602,225,419.00,611,0.685761,0.853333,0.318937,0.464329,0.639148,0.364603,0.641196,0.040000,0.888889
"CONLL2003","gs18","spacy_md_model","FAC","tnnt:FAC",27,27,27.00,27,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_ontonotes_model","DATE","tnnt:Date",6,6,6.00,6,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","DATE","tnnt:Date",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","stanza_model","EVENT","tnnt:Event",475,113,463.00,513,0.902534,0.442478,0.105263,0.170068,0.269687,0.124193,0.842105,0.336283,0.666667
"CONLL2003","nl5","nltk_model","FACILITY","tnnt:FO",980,21,977.00,983,0.993896,0.285714,0.006122,0.011988,0.028195,0.007612,0.981633,0.142857,0.333333
"CONLL2003","gs18","spacy_lg_model","ORDINAL","tnnt:Ordinal",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","stanza_model","PRODUCT","tnnt:Product",18,18,18.00,18,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_lg_model","PRODUCT","tnnt:Product",20,20,20.00,20,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","PRODUCT","tnnt:Product",19,19,19.00,19,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_ontonotes_model","PRODUCT","tnnt:Product",11,11,11.00,11,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","WORK_OF_ART","tnnt:WorkOfArt",25,25,25.00,25,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","LANGUAGE","tnnt:Language",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_sm_model","LANGUAGE","tnnt:Language",3,3,3.00,3,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_lg_model","WORK_OF_ART","tnnt:WorkOfArt",25,25,25.00,25,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","PRODUCT","tnnt:Product",10,10,10.00,10,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","CARDINAL","tnnt:Cardinal",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_sm_model","WORK_OF_ART","tnnt:WorkOfArt",33,33,33.00,33,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","stanza_model","WORK_OF_ART","tnnt:WorkOfArt",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_sm_model","TIME","tnnt:Time",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","sc7","stanford_class7_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","stanza_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","spacy_md_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","spacy_lg_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","flair_ontonotes_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
