Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"GUM","gs18","spacy_lg_model","CARDINAL","tnnt:Cardinal",206,183,178.00,249,0.714859,0.387978,0.344660,0.365039,0.378465,0.352532,0.320388,0.234973,0.507143
"GUM","gs18","spacy_sm_model","TIME","tnnt:Time",122,86,87.50,140,0.625000,0.610465,0.430328,0.504808,0.563305,0.457317,0.442623,0.209302,0.772059
"GUM","gs18","spacy_lg_model","TIME","tnnt:Time",214,88,177.00,230,0.769565,0.602273,0.247664,0.350993,0.468198,0.280720,0.663551,0.181818,0.736111
"GUM","gs18","stanza_model","CARDINAL","tnnt:Cardinal",215,181,181.50,253,0.717391,0.395028,0.332558,0.361111,0.380724,0.343420,0.334884,0.209945,0.500000
"GUM","gs18","spacy_md_model","CARDINAL","tnnt:Cardinal",223,191,187.00,263,0.711027,0.397906,0.340807,0.367150,0.385005,0.350877,0.322870,0.209424,0.503311
"GUM","gs18","flair_ontonotes_model","CARDINAL","tnnt:Cardinal",197,165,168.00,233,0.721030,0.393939,0.329949,0.359116,0.379230,0.341028,0.345178,0.218182,0.503876
"GUM","gs18","flair_fast_ontonotes_model","CARDINAL","tnnt:Cardinal",200,166,166.50,234,0.711538,0.406627,0.337500,0.368852,0.390625,0.349379,0.340000,0.204819,0.511364
"GUM","gs18","stanza_model","TIME","tnnt:Time",243,88,202.00,258,0.782946,0.636364,0.230453,0.338369,0.470588,0.264151,0.699588,0.170455,0.767123
"GUM","gs18","spacy_md_model","TIME","tnnt:Time",213,88,176.50,230,0.767391,0.607955,0.251174,0.355482,0.473451,0.284574,0.666667,0.193182,0.753521
"GUM","gs18","flair_ontonotes_model","TIME","tnnt:Time",279,81,240.50,293,0.820819,0.648148,0.188172,0.291667,0.435323,0.219298,0.759857,0.172840,0.783582
"GUM","gs18","flair_fast_ontonotes_model","TIME","tnnt:Time",259,80,223.50,274,0.815693,0.631250,0.194981,0.297935,0.436097,0.226254,0.749035,0.187500,0.776923
"GUM","sc7","stanford_class7_model","TIME","tnnt:Time",512,6,507.00,512,0.990234,0.833333,0.009766,0.019305,0.046642,0.012171,0.988281,0.000000,0.833333
"GUM","gs18","spacy_sm_model","LAW","tnnt:Law",1718,11,1716.00,1721,0.997095,0.454545,0.002910,0.005784,0.014188,0.003632,0.995343,0.272727,0.625000
"GUM","gs18","spacy_sm_model","EVENT","tnnt:Event",1607,26,1593.00,1610,0.989441,0.653846,0.010579,0.020821,0.049679,0.013170,0.985688,0.115385,0.739130
"GUM","gs18","spacy_md_model","LAW","tnnt:Law",5657,10,5653.00,5658,0.999116,0.500000,0.000884,0.001765,0.004388,0.001104,0.998409,0.100000,0.555556
"GUM","gs18","spacy_md_model","QUANTITY","tnnt:Quantity",5984,52,5960.00,5988,0.995324,0.538462,0.004679,0.009278,0.022610,0.005836,0.991979,0.076923,0.583333
"GUM","gs18","spacy_lg_model","QUANTITY","tnnt:Quantity",5890,58,5861.50,5894,0.994486,0.560345,0.005518,0.010928,0.026544,0.006880,0.990832,0.068966,0.601852
"GUM","gs18","flair_fast_ontonotes_model","MONEY","tnnt:Money",78,11,72.50,79,0.917722,0.590909,0.083333,0.146067,0.266393,0.100619,0.871795,0.090909,0.650000
"GUM","gs18","spacy_sm_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
