Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","gs18","flair_fast_ontonotes_model","ORG","tnnt:Organisation",13141,3881,11099.50,13385,0.829249,0.588895,0.173921,0.268535,0.398657,0.202454,0.723233,0.062870,0.628403
"feng","gs18","flair_fast_ontonotes_model","LOC","tnnt:Location",339,339,339.00,339,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_fast_ontonotes_model","FAC","tnnt:FAC",696,347,781.50,833,0.938175,0.148415,0.073994,0.098754,0.123560,0.082242,0.698276,0.394813,0.245238
"feng","gs18","flair_fast_ontonotes_model","EVENT","tnnt:Event",491,415,480.50,622,0.772508,0.340964,0.288187,0.312362,0.328917,0.297394,0.421589,0.315663,0.498239
"feng","gs18","flair_fast_ontonotes_model","PRODUCT","tnnt:Product",602,214,656.50,700,0.937857,0.203271,0.072259,0.106618,0.149177,0.082952,0.807309,0.457944,0.375000
"feng","gs18","flair_fast_ontonotes_model","DATE","tnnt:Date",8658,3164,6774.50,8789,0.770793,0.636694,0.232675,0.340805,0.472577,0.266496,0.649688,0.041403,0.664194
"feng","gs18","flair_fast_ontonotes_model","WORK_OF_ART","tnnt:WorkOfArt",592,191,627.50,677,0.926883,0.259162,0.083615,0.126437,0.182522,0.096717,0.820946,0.445026,0.466981
"feng","gs18","flair_fast_ontonotes_model","LANGUAGE","tnnt:Language",504,20,493.00,506,0.974308,0.650000,0.025794,0.049618,0.111301,0.031925,0.964286,0.100000,0.722222
"feng","gs18","flair_fast_ontonotes_model","LAW","tnnt:Law",569,125,576.00,611,0.942717,0.280000,0.061511,0.100865,0.163704,0.072886,0.854130,0.336000,0.421687
"feng","gs18","flair_fast_ontonotes_model","CARDINAL","tnnt:Cardinal",120,120,120.00,120,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
